Date,Yellow,Red,Orange,Blue,Green,Brown,Total
2017-12-29,16094,1303052,847121,1500756,771014,553422,4991459
2017-12-30,11428,1166826,650692,1426072,632466,386102,4273586
2017-12-31,11954,1362000,668614,1694221,646123,440192,4823104
2018-01-01,1155,111966,53794,117353,38592,28896,351756
2018-01-01,8926,1025398,511328,1107236,475048,305686,3433622
2018-01-02,14208,1117400,762963,1234428,668167,490673,4287839
2018-01-03,14729,1113614,779808,1248591,680313,503303,4340358
2018-01-04,15196,1116640,782630,1254379,683177,506492,4358514
2018-01-05,16354,1218702,840096,1408994,749600,542479,4776225
2018-01-06,11140,967076,625592,1228804,589320,352496,3774428
2018-01-07,8441,779496,491523,994453,440382,272256,2986551
2018-01-08,15166,1063348,791320,1235122,670030,489243,4264229
2018-01-09,15317,1062448,805221,1239134,690122,500283,4312525
2018-01-10,15080,1098056,796960,1250864,691248,503056,4355264
2018-01-11,15448,1094733,795446,1263338,692832,503096,4364893
2018-01-12,16686,1196101,838219,1395968,749971,532678,4729623
2018-01-13,12152,1021154,646406,1230590,588852,362167,3861321
2018-01-14,9926,939214,531014,1020408,484656,300747,3285965
2018-01-15,15262,1061510,759605,1215125,657709,476820,4186031
2018-01-16,15209,1084194,772999,1217808,672956,487443,4250609
2018-01-17,15699,1082896,777422,1238195,675704,492234,4282150
2018-01-18,15530,1102186,782737,1254447,691140,496416,4342456
2018-01-19,16642,1212616,863511,1457900,779356,542329,4872354
2018-01-20,13238,1033112,649246,1239512,596928,356641,3888677
2018-01-21,9896,936876,544016,1046912,488482,300150,3326332
2018-01-22,15582,1060544,743798,1218415,654143,468666,4161148
2018-01-23,15495,1093592,758646,1242788,675684,483429,4269634
2018-01-24,15207,1093546,780496,1289048,698210,494398,4370905
2018-01-25,15282,1126081,774926,1304914,695758,490366,4407327
2018-01-26,16018,1253850,821604,1442550,739112,521134,4794268
2018-01-27,11789,1177490,677624,1342309,603825,398770,4211807
2018-01-28,10674,946896,550190,1080564,488154,301384,3377862
2018-01-29,14698,1082219,768606,1284584,681808,469514,4301429
2018-01-30,14970,1061064,781684,1295141,696212,487294,4336365
